lower_bounds,upper_bounds,mean_engagement,engagement_se,num_users_in_bin
0.0,86400.0,0.067929846405027,0.001575239705740826,5399
86400.0,172800.0,0.03323336369297032,0.0014032038351092307,5383
172800.0,259200.0,0.028693337059115743,0.0013264709664545583,5368
259200.0,345600.0,0.025414580780069654,0.001273932927737789,5349
345600.0,432000.0,0.02220825253852088,0.0012273250562849863,5329
432000.0,518400.0,0.021021635285549005,0.0011642804960753973,5314
518400.0,604800.0,0.018712999330487028,0.0011019261017821426,5283
604800.0,691200.0,0.017165751568739302,0.001070743913120453,5259
691200.0,777600.0,0.015318456300402869,0.0010062385930612293,5231
777600.0,864000.0,0.015424732704066742,0.0009985006446077424,5203
864000.0,950400.0,0.014688241296152963,0.0009365055544343229,5168
950400.0,1036800.0,0.014490088584880455,0.0009102627727649177,5129
1036800.0,1123200.0,0.01353425433896798,0.0008779261805437295,5081
1123200.0,1209600.0,0.013150754963080866,0.0008486325931034486,5026
1209600.0,1296000.0,0.011477279710825065,0.0007575048946158731,4972
1296000.0,1382400.0,0.011395668494028106,0.0007652860731309388,4915
1382400.0,1468800.0,0.01035969469676117,0.00061718773397756,4844
1468800.0,1555200.0,0.010445004112639772,0.00061434673830617,4773
1555200.0,1641600.0,0.010763341360260213,0.0006739856638204738,4418
1641600.0,1728000.0,0.011070149283365102,0.0007469364001213541,3964
1728000.0,1814400.0,0.011056767548401267,0.0007611671130804888,3541
1814400.0,1900800.0,0.011085809467353318,0.0008056289864405253,2999
1900800.0,1987200.0,0.01223363095238095,0.0009174620424729799,2450
1987200.0,2073600.0,0.014329284641784642,0.00104571654780186,1813
2073600.0,2160000.0,0.02525257910469525,0.0028702684582784343,508
2160000.0,2246400.0,,,0
